text,gold_status
Working diagnosis of chest pain,ambiguous
migraine not detected,negated
nausea for the past 3 days,ongoing
pneumonia not detected,negated
asthma has resolved,resolved
pneumonia in the past,resolved
Denies heart failure,negated
? obesity,ambiguous
edema worsening,ongoing
Could represent vertigo,ambiguous
Managed pneumonia,ongoing
heart failure worsening,ongoing
seizures resolved after treatment,resolved
Presenting with hypertension,ongoing
Stable sepsis,ongoing
Suspected stroke,ambiguous
pneumonia last year,resolved
Past history of nausea,resolved
fever resolved,resolved
asthma continues,ongoing
No evidence of migraine,negated
hypertension ongoing,ongoing
Could represent pulmonary embolism,ambiguous
rheumatoid arthritis in the past,resolved
osteoporosis has resolved,resolved
heart failure in remission,resolved
Past history of sepsis,resolved
No evidence of chest pain,negated
Active coronary artery disease,ongoing
No complaints of obesity,negated
anxiety previously diagnosed,resolved
Questionable anxiety,ambiguous
pneumonia in remission,resolved
Patient has sepsis,ongoing
Symptoms consistent with hypertension,ambiguous
headache fully resolved,resolved
insomnia worsening,ongoing
vertigo not improving on current regimen,ongoing
pneumonia has resolved,resolved
Could represent insomnia,ambiguous
Imaging shows no evidence of nausea,negated
nausea -ve,negated
edema -ve,negated
headache ruled out,negated
stroke ongoing,ongoing
atrial fibrillation active,ongoing
No active vertigo,negated
Considering insomnia,ambiguous
Free of edema,negated
Working diagnosis of headache,ambiguous
Denies rheumatoid arthritis,negated
insomnia for the past 3 days,ongoing
insomnia last year,resolved
Prior diabetes,resolved
Acute coronary artery disease,ongoing
headache was treated,resolved
hypertension not detected,negated
Recovered from depression,resolved
seizures ruled out,negated
obesity previously diagnosed,resolved
Suspected migraine,ambiguous
pneumonia controlled on medication,ongoing
rheumatoid arthritis not detected,negated
Worsening rheumatoid arthritis,ongoing
depression in remission,resolved
May have gout,ambiguous
Symptoms consistent with headache,ambiguous
edema no longer present,resolved
No current seizures,negated
Active osteoporosis,ongoing
No documented atrial fibrillation,negated
Possible new asthma,ambiguous
shortness of breath for the past 3 days,ongoing
Denies cough,negated
s/p treatment for coronary artery disease,resolved
Possible history of pulmonary embolism,ambiguous
Denies any history of pneumonia,negated
Possible history of gout,ambiguous
Had osteoporosis last year,resolved
anxiety ruled out,negated
deep vein thrombosis continues,ongoing
sepsis worsening,ongoing
obesity treated successfully,resolved
To rule out fever,ambiguous
heart failure cleared 6 months ago,resolved
deep vein thrombosis controlled on medication,ongoing
gout since this morning,ongoing
Possible heart failure,ambiguous
Could represent asthma,ambiguous
Status post migraine,resolved
Patient has anemia,ongoing
Concern for seizures,ambiguous
Possible headache,ambiguous
depression ongoing,ongoing
Differential includes shortness of breath,ambiguous
Had vertigo last year,resolved
Could represent obesity,ambiguous
seizures in remission,resolved
Possible new migraine,ambiguous
pulmonary embolism last year,resolved
Patient has no coronary artery disease,negated
No history of depression,negated
Chronic cough,ongoing
Status post headache,resolved
chest pain not present,negated
Patient has no shortness of breath,negated
obesity cleared 6 months ago,resolved
anemia ongoing,ongoing
stroke not improving on current regimen,ongoing
No documented heart failure,negated
Managed shortness of breath,ongoing
edema since this morning,ongoing
No documented stroke,negated
? depression,ambiguous
No documented shortness of breath,negated
asthma remains present,ongoing
Denies atrial fibrillation,negated
vertigo worsening,ongoing
Questionable vertigo,ambiguous
atrial fibrillation ruled out,negated
Currently has sepsis,ongoing
anemia 2 months ago,resolved
? migraine,ambiguous
fever treated successfully,resolved
Imaging shows no evidence of shortness of breath,negated
seizures currently present,ongoing
No signs of stroke,negated
sepsis for the past 3 days,ongoing
sepsis fully resolved,resolved
No longer has fatigue,resolved
Imaging shows no evidence of osteoporosis,negated
Chronic heart failure,ongoing
Unlikely but possible chest pain,ambiguous
sepsis was treated,resolved
Differential includes anemia,ambiguous
Could represent fatigue,ambiguous
No evidence of fever,negated
shortness of breath improving,ongoing
fatigue not detected,negated
To rule out deep vein thrombosis,ambiguous
Atypical presentation of atrial fibrillation,ambiguous
May have headache,ambiguous
Presenting with asthma,ongoing
h/o cough,resolved
No known anxiety,negated
hypertension not present,negated
Query gout,ambiguous
gout in the past,resolved
Previous episode of edema,resolved
Patient denies osteoporosis,negated
Suspected osteoporosis,ambiguous
? sepsis,ambiguous
No documented pulmonary embolism,negated
Persistent diabetes,ongoing
? chest pain,ambiguous
vertigo fully resolved,resolved
anemia 3 years ago,resolved
migraine worsening,ongoing
fatigue well-controlled,ongoing
chest pain remains present,ongoing
No current anemia,negated
Does not have cough,negated
chest pain for the past 3 days,ongoing
Does not have rheumatoid arthritis,negated
Recovered from diabetes,resolved
No active deep vein thrombosis,negated
cough negative,negated
Currently has fever,ongoing
No active pulmonary embolism,negated
Former fatigue,resolved
Does not have fatigue,negated
Patient denies chest pain,negated
gout improving,ongoing
Acute shortness of breath,ongoing
Recovered from edema,resolved
deep vein thrombosis fully resolved,resolved
atrial fibrillation no longer present,resolved
Denies any history of depression,negated
Active fatigue,ongoing
Cannot rule out hypertension,ambiguous
rheumatoid arthritis fully resolved,resolved
heart failure not detected,negated
rheumatoid arthritis remains present,ongoing
Complains of nausea,ongoing
Possible coronary artery disease,ambiguous
Possible new seizures,ambiguous
Free of cough,negated
Differential includes osteoporosis,ambiguous
May have cough,ambiguous
Status post pulmonary embolism,resolved
Questionable obesity,ambiguous
stroke controlled on medication,ongoing
stroke cleared 6 months ago,resolved
