text,condition,gold_status,explanation
The patient has asthma,asthma,ongoing,Condition is currently present
Asthma better today,asthma,ongoing,Better means improved but not resolved
Asthma resolved after treatment,asthma,resolved,Explicit resolved cue
History of asthma,asthma,resolved,History of suggests past condition
No evidence of pneumonia,pneumonia,negated,No evidence of negates condition
Patient denies chest pain,chest pain,negated,Denies is a negation cue
Fever has resolved,fever,resolved,Resolved cue
Persistent cough for 2 weeks,cough,ongoing,Persistent indicates ongoing
Diabetes is stable,diabetes,ongoing,Stable chronic disease is still active
Previous fracture of left arm,fracture,resolved,Previous indicates past condition
Possible pneumonia,pneumonia,ambiguous,Possible indicates uncertainty
Rule out sepsis,sepsis,ambiguous,Rule out means uncertain diagnosis
Seizures controlled on medication,seizures,ongoing,Controlled means managed but still active
No longer has headache,headache,resolved,No longer indicates resolved — NOT negated
Negative for abdominal pain,abdominal pain,negated,Negative for means condition absent
h/o diabetes,diabetes,resolved,h/o is clinical shorthand for history of
c/o chest pain,chest pain,ongoing,c/o means complains of — active symptom
s/p appendectomy,appendectomy,resolved,s/p means status post — past procedure
Fever -ve,fever,negated,-ve is shorthand for negative
HTN well-controlled,hypertension,ongoing,Well-controlled means managed but still present
Patient has no fever,fever,negated,has no is a compound negation cue
No active infection,infection,negated,no active is a compound negation cue
"History of asthma, currently worsening",asthma,ongoing,Current worsening overrides historical framing
DM diagnosed 3 years ago,diabetes,resolved,3 years ago is a past temporal marker
Chest pain since this morning,chest pain,ongoing,Since this morning is a present temporal marker
Hypertension not improving on current regimen,hypertension,ongoing,Not improving means condition persists
No longer on insulin,insulin,resolved,No longer indicates cessation
Concern for pulmonary embolism,pulmonary embolism,ambiguous,Concern for is an uncertainty cue
Suspected pneumonia,pneumonia,ambiguous,Suspected indicates diagnostic uncertainty
"Cough, no improvement noted",cough,ongoing,No improvement means condition persists
PMH: type 2 diabetes,diabetes,resolved,Past medical history framing
Patient denies any history of hypertension,hypertension,negated,Denies is a strong negation
"Atrial fibrillation, previously in sinus rhythm",atrial fibrillation,ongoing,Previously refers to past rhythm — afib still present
Recovered from pneumonia last month,pneumonia,resolved,Recovered + last month = past resolved
Cannot rule out malignancy,malignancy,ambiguous,Cannot rule out is uncertainty cue
Rheumatoid arthritis in remission,rheumatoid arthritis,resolved,In remission means not currently active
Acute onset chest pain,chest pain,ongoing,Acute presentation is clearly ongoing
Prior MI five years ago,myocardial infarction,resolved,Prior + five years ago = historical
Presenting with shortness of breath,shortness of breath,ongoing,Presenting with is a strong ongoing signal
Patient has hypertension,hypertension,ongoing,Direct statement of active condition
Active asthma,asthma,ongoing,Active explicitly signals ongoing
Chronic back pain,back pain,ongoing,Chronic means long-standing and present
Recurring migraines,migraine,ongoing,Recurring means condition keeps returning
Worsening shortness of breath,shortness of breath,ongoing,Worsening signals active deterioration
"Diabetes mellitus, currently on metformin",diabetes,ongoing,Currently on medication means condition is active
"Hypertension, blood pressure elevated today",hypertension,ongoing,Elevated today confirms active condition
Fatigue ongoing for 3 weeks,fatigue,ongoing,Ongoing explicitly stated
Knee pain persisting despite rest,knee pain,ongoing,Persisting despite treatment means active
Depression currently managed with SSRIs,depression,ongoing,Managed but still active
Still having chest tightness,chest tightness,ongoing,Still having confirms condition persists
My anxiety has been bad lately,anxiety,ongoing,Has been bad = active recently
Headaches keep coming back,headache,ongoing,Keep coming back = recurring active condition
I've been having back pain for months,back pain,ongoing,Duration marker confirms ongoing
Cough won't go away,cough,ongoing,Won't go away = persistent active condition
Presenting with acute dyspnea,dyspnea,ongoing,Presenting with is a strong present cue
Seizures poorly controlled,seizures,ongoing,Poorly controlled means condition is active and problematic
CHF exacerbation,heart failure,ongoing,Exacerbation means active worsening episode
Uncontrolled hypertension,hypertension,ongoing,Uncontrolled means active and not managed
Progressing weakness in lower limbs,weakness,ongoing,Progressing signals active deterioration
"History of depression, currently on antidepressants",depression,ongoing,Currently on medication overrides history framing
"Prior stroke, now with recurrent symptoms",stroke,ongoing,Now with recurrent symptoms confirms active
"Known asthmatic, currently wheezing",asthma,ongoing,Currently wheezing is a present active signal
"Past DVT, now with leg swelling",deep vein thrombosis,ongoing,Now with leg swelling signals active recurrence
"Previously treated hypertension, BP elevated today",hypertension,ongoing,BP elevated today confirms active condition
History of pneumonia,pneumonia,resolved,History of suggests past condition
Previous appendectomy,appendectomy,resolved,Previous indicates past procedure
Past episode of atrial fibrillation,atrial fibrillation,resolved,Past episode = historical
Formerly had migraines,migraine,resolved,Formerly means no longer present
Recovered from COVID-19,covid-19,resolved,Recovered is an explicit resolved cue
Pneumonia treated and cleared 3 months ago,pneumonia,resolved,Cleared + time ago confirms resolved
Depression in remission for 2 years,depression,resolved,In remission = not currently active
Fracture healed after surgery,fracture,resolved,Healed is an explicit resolved cue
Infection resolved with antibiotics,infection,resolved,Resolved is an explicit resolved cue
"Asthma attack, now resolved",asthma,resolved,Now resolved confirms condition ended
"Had a cold last week, all better now",cold,resolved,All better now signals complete resolution
My back pain is gone,back pain,resolved,Gone is an explicit resolved cue
The fever broke this morning,fever,resolved,Fever broke means it ended
Stomach bug cleared up,infection,resolved,Cleared up signals resolution
Knee pain went away after PT,knee pain,resolved,Went away confirms resolution
s/p CABG 5 years ago,coronary artery disease,resolved,s/p means status post — past procedure
"Post-op day 3, wound healing well",wound,resolved,Healing well signals positive resolution trajectory
h/o MI in 2019,myocardial infarction,resolved,h/o with year = historical
"PMH: colon cancer, surgically resected",colon cancer,resolved,Past medical history framing
